user_id,variant,pre_signup_value,device,country,converted,revenue
94,treatment,15.6,mobile,SG,0,0.0
95,control,48.26,mobile,ID,0,0.0
96,control,22.37,mobile,ID,0,0.0
97,treatment,43.39,desktop,ID,0,0.0
98,treatment,47.42,mobile,ID,1,33.15
99,treatment,67.31,mobile,ID,0,0.0
100,treatment,45.68,mobile,SG,0,0.0
101,control,46.02,desktop,MY,0,0.0
102,treatment,66.17,mobile,SG,1,8.86
103,control,4.48,mobile,VN,1,83.0
104,treatment,10.05,desktop,PH,0,0.0
105,treatment,45.04,mobile,SG,0,0.0
106,control,2.36,mobile,MY,0,0.0
107,control,25.87,desktop,MY,0,0.0
108,treatment,25.75,mobile,ID,0,0.0
109,control,5.65,mobile,PH,0,0.0
110,control,10.51,mobile,ID,0,0.0
111,control,36.13,mobile,PH,0,0.0
112,control,33.73,mobile,SG,0,0.0
113,treatment,14.3,desktop,SG,0,0.0
114,treatment,11.46,mobile,ID,0,0.0
115,treatment,12.7,desktop,MY,0,0.0
116,treatment,32.17,mobile,SG,0,0.0
117,control,6.57,mobile,ID,0,0.0
118,treatment,23.31,mobile,SG,0,0.0
119,treatment,6.12,desktop,MY,1,37.02
120,treatment,42.33,desktop,MY,1,11.71
121,control,26.6,mobile,PH,1,9.29
122,treatment,54.69,mobile,MY,1,6.96
123,control,2.01,mobile,MY,0,0.0
124,control,2.97,desktop,ID,0,0.0
125,treatment,13.93,mobile,SG,0,0.0
126,treatment,60.74,mobile,VN,0,0.0
127,treatment,8.47,mobile,SG,0,0.0
128,control,53.91,mobile,VN,0,0.0
129,treatment,25.94,desktop,ID,0,0.0
130,treatment,25.75,mobile,SG,0,0.0
131,treatment,37.3,desktop,ID,0,0.0
132,treatment,9.75,desktop,PH,0,0.0
133,control,13.95,mobile,MY,0,0.0
134,treatment,7.58,desktop,ID,0,0.0
135,treatment,24.86,mobile,PH,0,0.0
136,treatment,75.37,mobile,VN,0,0.0
137,treatment,17.05,mobile,SG,0,0.0
138,control,33.07,mobile,ID,0,0.0
139,control,30.17,mobile,SG,0,0.0
140,treatment,26.65,desktop,ID,1,15.55
141,treatment,20.14,mobile,ID,0,0.0
142,treatment,55.79,mobile,ID,1,37.49
143,control,24.89,desktop,PH,0,0.0
144,treatment,15.72,mobile,SG,0,0.0
145,treatment,48.71,mobile,MY,0,0.0
146,treatment,40.32,desktop,VN,0,0.0
147,treatment,29.41,mobile,PH,1,17.24
148,treatment,21.26,desktop,SG,0,0.0
149,control,67.19,desktop,SG,0,0.0
150,control,23.88,mobile,SG,0,0.0
151,control,14.61,mobile,SG,0,0.0
152,treatment,36.15,desktop,SG,0,0.0
153,treatment,18.88,mobile,MY,0,0.0
154,treatment,23.73,mobile,MY,0,0.0
155,treatment,18.14,mobile,PH,0,0.0
156,control,20.96,mobile,ID,0,0.0
157,treatment,5.1,mobile,ID,0,0.0
158,control,11.84,mobile,ID,0,0.0
159,treatment,12.85,mobile,ID,1,13.64
160,treatment,19.41,mobile,ID,1,24.58
161,control,28.89,mobile,PH,0,0.0
162,treatment,10.27,desktop,VN,0,0.0
163,treatment,87.87,mobile,SG,0,0.0
164,treatment,21.27,mobile,SG,0,0.0
165,control,31.7,mobile,VN,0,0.0
166,treatment,9.11,mobile,SG,0,0.0
167,control,11.25,mobile,SG,0,0.0
168,control,67.66,mobile,VN,0,0.0
169,treatment,37.32,mobile,ID,0,0.0
170,treatment,21.38,desktop,SG,0,0.0
171,treatment,6.88,mobile,SG,0,0.0
172,treatment,65.98,mobile,MY,0,0.0
173,treatment,10.83,desktop,MY,0,0.0
174,treatment,16.45,mobile,MY,0,0.0
175,control,21.23,desktop,SG,0,0.0
176,treatment,31.2,desktop,MY,0,0.0
177,control,24.23,mobile,MY,0,0.0
178,control,23.41,mobile,PH,0,0.0
179,treatment,81.55,mobile,ID,0,0.0
180,treatment,26.1,mobile,VN,0,0.0
181,treatment,33.29,desktop,ID,0,0.0
182,treatment,41.32,desktop,PH,0,0.0
183,treatment,4.35,mobile,PH,0,0.0
184,treatment,14.03,mobile,MY,0,0.0
185,treatment,99.16,desktop,ID,1,21.47
186,treatment,12.74,mobile,PH,0,0.0
187,control,23.93,mobile,ID,0,0.0
188,control,8.67,mobile,SG,0,0.0
189,treatment,8.68,mobile,MY,0,0.0
190,treatment,51.74,mobile,SG,0,0.0
191,treatment,16.9,desktop,ID,0,0.0
192,control,22.53,desktop,VN,0,0.0
193,treatment,18.99,mobile,VN,0,0.0
194,treatment,6.17,mobile,PH,0,0.0
195,treatment,21.48,mobile,PH,0,0.0
196,treatment,49.85,mobile,PH,0,0.0
197,control,12.68,desktop,MY,0,0.0
198,treatment,33.39,desktop,ID,0,0.0
199,treatment,50.7,mobile,ID,1,13.07
200,control,8.1,mobile,MY,0,0.0
201,treatment,44.07,mobile,MY,1,15.83
202,treatment,3.31,mobile,VN,0,0.0
203,treatment,38.46,mobile,PH,0,0.0
204,control,18.28,desktop,SG,0,0.0
205,control,8.92,mobile,SG,0,0.0
206,treatment,21.75,mobile,VN,0,0.0
207,treatment,14.44,mobile,MY,0,0.0
208,treatment,4.59,desktop,PH,0,0.0
209,control,49.3,mobile,MY,0,0.0
210,treatment,52.04,mobile,MY,0,0.0
211,control,9.74,mobile,MY,0,0.0
212,treatment,17.12,desktop,SG,0,0.0
213,control,15.99,mobile,PH,1,7.15
214,control,19.55,mobile,SG,0,0.0
215,control,7.42,mobile,SG,0,0.0
216,treatment,46.29,mobile,VN,0,0.0
217,treatment,25.07,mobile,ID,0,0.0
218,control,10.45,mobile,VN,0,0.0
219,control,16.25,mobile,MY,0,0.0
220,control,12.74,mobile,SG,0,0.0
221,treatment,20.85,desktop,PH,0,0.0
222,treatment,38.19,mobile,SG,0,0.0
223,control,38.59,desktop,PH,0,0.0
224,treatment,9.32,desktop,MY,0,0.0
225,treatment,26.02,mobile,MY,0,0.0
226,control,11.24,mobile,MY,1,12.29
227,control,4.28,mobile,ID,0,0.0
228,treatment,9.36,desktop,ID,0,0.0
229,control,23.87,mobile,MY,1,89.56
230,treatment,5.57,mobile,ID,0,0.0
231,treatment,13.19,mobile,SG,1,28.61
232,control,33.09,mobile,VN,0,0.0
233,control,13.47,desktop,MY,0,0.0
234,treatment,13.04,mobile,ID,0,0.0
235,treatment,10.51,mobile,VN,0,0.0
236,control,3.64,mobile,MY,0,0.0
237,treatment,19.3,mobile,SG,0,0.0
238,control,24.4,mobile,SG,0,0.0
239,control,25.97,mobile,VN,0,0.0
240,control,9.8,mobile,SG,0,0.0
241,treatment,10.08,mobile,ID,0,0.0
242,control,42.43,mobile,PH,0,0.0
243,treatment,10.62,mobile,SG,0,0.0
244,control,18.74,mobile,SG,0,0.0
245,control,9.42,mobile,ID,0,0.0
246,treatment,9.4,mobile,MY,1,19.43
247,control,5.7,desktop,MY,0,0.0
248,treatment,62.58,desktop,SG,0,0.0
249,control,18.0,mobile,PH,0,0.0
250,treatment,3.34,desktop,ID,0,0.0
251,control,24.41,mobile,MY,0,0.0
252,control,23.23,mobile,PH,0,0.0
253,control,23.74,mobile,PH,0,0.0
254,control,59.24,mobile,MY,0,0.0
255,treatment,22.44,mobile,MY,0,0.0
256,treatment,23.76,mobile,MY,0,0.0
257,treatment,13.2,desktop,ID,0,0.0
258,treatment,9.75,desktop,SG,0,0.0
259,treatment,23.04,desktop,SG,0,0.0
260,control,21.62,mobile,SG,0,0.0
261,treatment,10.77,desktop,MY,1,21.31
262,control,15.81,mobile,PH,0,0.0
263,control,24.91,desktop,SG,0,0.0
264,treatment,26.32,desktop,PH,0,0.0
265,treatment,14.86,mobile,ID,1,52.17
266,treatment,2.5,desktop,VN,0,0.0
267,control,28.04,mobile,SG,0,0.0
268,treatment,17.65,mobile,PH,0,0.0
269,control,10.46,mobile,SG,0,0.0
270,treatment,15.75,mobile,ID,0,0.0
271,control,8.18,mobile,ID,0,0.0
272,treatment,27.88,mobile,SG,0,0.0
273,treatment,17.42,desktop,SG,0,0.0
274,treatment,4.63,mobile,SG,0,0.0
275,control,30.01,desktop,SG,0,0.0
276,treatment,33.18,desktop,ID,0,0.0
277,control,20.3,mobile,SG,1,20.68
278,control,34.3,mobile,ID,0,0.0
279,treatment,5.65,desktop,SG,0,0.0
280,treatment,55.17,mobile,SG,0,0.0
281,treatment,29.81,desktop,SG,0,0.0
282,treatment,48.05,mobile,VN,0,0.0
283,treatment,5.81,desktop,PH,0,0.0
284,treatment,14.61,desktop,SG,0,0.0
285,control,18.48,mobile,MY,1,33.96
286,treatment,76.42,desktop,ID,0,0.0
287,treatment,23.05,mobile,SG,0,0.0
288,control,7.67,mobile,MY,0,0.0
289,treatment,34.17,mobile,ID,0,0.0
290,treatment,27.2,desktop,ID,0,0.0
291,control,12.83,desktop,MY,1,31.64
292,treatment,42.0,desktop,SG,1,9.07
293,control,52.0,mobile,ID,1,1.32
294,treatment,19.47,desktop,PH,0,0.0
295,control,10.18,mobile,MY,0,0.0
296,control,38.01,mobile,SG,0,0.0
297,treatment,31.46,desktop,SG,0,0.0
298,control,18.58,mobile,ID,0,0.0
299,control,11.72,desktop,SG,0,0.0
300,treatment,19.06,mobile,VN,0,0.0
301,treatment,33.13,desktop,PH,0,0.0
302,control,24.71,mobile,ID,1,11.16
303,control,37.06,mobile,SG,0,0.0
304,control,74.51,mobile,SG,0,0.0
305,treatment,31.55,mobile,VN,0,0.0
306,treatment,43.55,mobile,SG,0,0.0
307,control,24.23,mobile,SG,0,0.0
308,control,85.29,desktop,PH,0,0.0
309,control,24.07,mobile,MY,0,0.0
310,treatment,61.07,desktop,PH,0,0.0
311,control,65.61,mobile,MY,0,0.0
312,control,21.57,desktop,VN,1,13.35
313,treatment,43.53,desktop,SG,0,0.0
314,treatment,5.68,desktop,MY,0,0.0
315,control,32.11,mobile,SG,0,0.0
316,treatment,5.59,mobile,SG,0,0.0
317,control,35.84,mobile,MY,0,0.0
318,control,16.88,mobile,SG,1,24.43
319,treatment,20.64,desktop,PH,0,0.0
320,treatment,11.18,desktop,VN,1,19.94
321,treatment,29.18,mobile,MY,0,0.0
322,treatment,40.49,mobile,PH,0,0.0
323,treatment,11.05,mobile,ID,0,0.0
324,control,18.8,mobile,SG,0,0.0
325,treatment,29.37,mobile,SG,1,39.5
326,control,14.64,desktop,ID,0,0.0
327,control,56.56,mobile,SG,0,0.0
328,treatment,87.13,desktop,ID,0,0.0
329,treatment,29.48,mobile,PH,0,0.0
330,control,22.67,mobile,VN,0,0.0
331,control,27.33,desktop,SG,0,0.0
332,control,12.14,desktop,ID,1,47.01
333,control,6.22,desktop,PH,0,0.0
334,treatment,13.0,desktop,ID,0,0.0
335,control,29.35,mobile,SG,1,10.01
336,treatment,19.06,desktop,SG,0,0.0
337,control,11.42,desktop,SG,0,0.0
338,control,9.95,mobile,ID,0,0.0
339,treatment,24.48,desktop,PH,0,0.0
340,treatment,18.78,mobile,MY,0,0.0
341,treatment,41.17,mobile,MY,0,0.0
342,control,9.81,mobile,VN,0,0.0
343,treatment,113.09,desktop,VN,0,0.0
344,treatment,22.9,desktop,PH,0,0.0
345,treatment,89.76,mobile,MY,1,19.6
346,control,18.55,mobile,ID,0,0.0
347,control,35.84,desktop,SG,0,0.0
348,treatment,16.39,desktop,PH,0,0.0
349,treatment,74.87,mobile,MY,1,34.18
350,treatment,40.73,desktop,SG,0,0.0
351,treatment,13.5,mobile,ID,1,33.01
352,control,21.43,mobile,MY,0,0.0
353,treatment,40.68,mobile,SG,0,0.0
354,treatment,4.47,mobile,SG,0,0.0
355,treatment,13.22,desktop,PH,0,0.0
356,control,15.03,mobile,MY,0,0.0
357,treatment,1.64,desktop,SG,0,0.0
358,treatment,30.23,mobile,SG,0,0.0
359,treatment,86.28,mobile,ID,1,20.58
360,treatment,3.82,desktop,ID,0,0.0
361,treatment,8.15,desktop,SG,0,0.0
362,treatment,26.57,desktop,SG,0,0.0
363,treatment,32.24,mobile,MY,0,0.0
364,control,31.21,desktop,MY,0,0.0
365,control,19.41,mobile,MY,1,35.29
366,control,15.94,mobile,PH,0,0.0
367,control,4.52,desktop,SG,0,0.0
368,control,80.47,mobile,MY,0,0.0
369,treatment,60.33,desktop,ID,0,0.0
370,control,14.05,mobile,SG,0,0.0
371,control,23.93,mobile,ID,0,0.0
372,treatment,19.77,desktop,ID,0,0.0
373,control,17.48,mobile,SG,0,0.0
374,treatment,9.33,desktop,ID,0,0.0
375,treatment,100.27,mobile,SG,0,0.0
376,control,20.66,mobile,PH,0,0.0
377,treatment,41.37,desktop,ID,0,0.0
378,control,21.2,desktop,SG,0,0.0
379,control,30.6,mobile,ID,1,37.18
380,treatment,68.78,mobile,PH,0,0.0
381,control,26.64,mobile,SG,0,0.0
382,treatment,66.39,mobile,ID,0,0.0
383,treatment,14.14,desktop,MY,0,0.0
384,treatment,40.18,desktop,PH,0,0.0
385,control,62.92,mobile,PH,0,0.0
386,treatment,42.53,mobile,PH,0,0.0
387,treatment,14.2,mobile,SG,0,0.0
388,treatment,18.49,desktop,MY,0,0.0
389,control,14.42,mobile,PH,0,0.0
390,treatment,31.54,mobile,ID,0,0.0
391,treatment,21.33,desktop,SG,1,17.63
392,treatment,13.03,desktop,MY,0,0.0
393,control,8.06,mobile,SG,0,0.0
394,treatment,14.47,mobile,SG,0,0.0
395,treatment,24.01,desktop,MY,0,0.0
396,control,41.07,mobile,MY,0,0.0
397,treatment,32.57,mobile,SG,0,0.0
398,control,39.34,desktop,SG,0,0.0
399,treatment,57.39,mobile,ID,0,0.0
400,treatment,33.39,desktop,SG,0,0.0
401,control,6.07,mobile,ID,0,0.0
402,treatment,20.31,mobile,VN,0,0.0
403,treatment,6.84,mobile,ID,0,0.0
404,treatment,27.08,mobile,ID,0,0.0
405,control,4.36,mobile,VN,0,0.0
406,treatment,23.3,mobile,PH,0,0.0
407,treatment,26.83,mobile,MY,0,0.0
408,treatment,37.28,desktop,SG,0,0.0
409,control,24.26,mobile,PH,0,0.0
410,treatment,115.19,mobile,SG,0,0.0
411,control,17.04,desktop,MY,1,16.98
412,control,43.47,mobile,MY,0,0.0
413,treatment,16.74,desktop,MY,0,0.0
414,treatment,10.43,mobile,PH,0,0.0
415,treatment,16.87,desktop,MY,0,0.0
416,treatment,6.16,desktop,VN,0,0.0
417,control,27.98,mobile,ID,0,0.0
418,control,3.98,desktop,MY,0,0.0
419,treatment,43.87,mobile,ID,0,0.0
420,treatment,23.51,desktop,SG,0,0.0
421,control,39.32,mobile,PH,0,0.0
422,control,8.51,mobile,ID,0,0.0
423,treatment,64.84,desktop,VN,0,0.0
424,control,54.84,desktop,SG,0,0.0
425,treatment,47.92,mobile,SG,0,0.0
426,treatment,22.07,mobile,MY,0,0.0
427,treatment,42.99,mobile,SG,0,0.0
428,treatment,23.39,desktop,ID,0,0.0
429,control,56.53,mobile,SG,0,0.0
430,control,4.17,mobile,MY,0,0.0
431,treatment,25.3,mobile,SG,0,0.0
432,control,60.15,mobile,ID,1,57.95
433,treatment,44.28,desktop,ID,0,0.0
434,treatment,45.85,desktop,ID,0,0.0
435,treatment,43.15,desktop,ID,0,0.0
436,treatment,28.1,mobile,PH,1,15.08
437,treatment,11.0,mobile,PH,0,0.0
438,treatment,35.01,mobile,VN,0,0.0
439,treatment,17.45,mobile,MY,0,0.0
440,control,20.0,mobile,ID,0,0.0
441,treatment,22.53,desktop,MY,0,0.0
442,control,24.59,mobile,PH,0,0.0
443,treatment,10.56,desktop,SG,0,0.0
444,treatment,40.21,mobile,ID,0,0.0
445,treatment,28.71,mobile,SG,0,0.0
446,treatment,54.04,mobile,SG,0,0.0
447,control,88.17,desktop,PH,1,5.9
448,control,42.25,mobile,MY,0,0.0
449,control,27.03,desktop,SG,0,0.0
450,control,7.17,mobile,SG,0,0.0
451,control,24.06,desktop,PH,0,0.0
452,treatment,28.8,mobile,VN,0,0.0
453,treatment,30.76,desktop,ID,0,0.0
454,treatment,25.7,mobile,PH,0,0.0
455,treatment,16.2,desktop,PH,0,0.0
456,treatment,46.79,mobile,VN,0,0.0
457,control,27.98,mobile,VN,0,0.0
458,treatment,50.92,desktop,ID,1,13.87
459,treatment,13.66,mobile,SG,0,0.0
460,treatment,31.45,mobile,MY,0,0.0
461,treatment,55.82,mobile,PH,0,0.0
462,treatment,55.91,desktop,ID,0,0.0
463,treatment,9.17,desktop,MY,0,0.0
464,treatment,23.17,mobile,ID,0,0.0
465,treatment,18.68,mobile,PH,0,0.0
466,control,55.92,mobile,SG,0,0.0
467,treatment,33.72,mobile,ID,0,0.0
468,treatment,14.48,mobile,SG,0,0.0
469,control,24.39,desktop,MY,0,0.0
470,treatment,16.63,mobile,PH,1,79.12
471,treatment,25.58,mobile,ID,0,0.0
472,treatment,17.63,mobile,ID,0,0.0
473,treatment,29.37,desktop,SG,0,0.0
474,control,56.24,desktop,ID,0,0.0
475,treatment,99.8,desktop,ID,0,0.0
476,control,44.15,desktop,PH,0,0.0
477,treatment,80.91,mobile,SG,0,0.0
478,control,40.2,mobile,SG,0,0.0
479,control,42.15,mobile,SG,0,0.0
480,control,34.89,mobile,SG,0,0.0
481,control,23.52,desktop,MY,0,0.0
482,treatment,1.81,desktop,MY,0,0.0
483,treatment,9.85,desktop,ID,0,0.0
484,treatment,20.83,mobile,MY,0,0.0
485,treatment,32.96,desktop,SG,1,10.12
486,treatment,11.16,desktop,ID,0,0.0
487,control,24.49,mobile,VN,0,0.0
488,treatment,22.11,mobile,MY,0,0.0
489,control,22.35,mobile,SG,1,13.96
490,treatment,25.35,mobile,ID,1,66.42
491,control,37.83,mobile,SG,0,0.0
492,treatment,18.95,desktop,MY,0,0.0
493,treatment,22.01,desktop,MY,0,0.0
494,treatment,11.3,mobile,VN,0,0.0
495,treatment,18.02,mobile,MY,0,0.0
496,treatment,12.18,desktop,SG,1,37.08
497,treatment,33.38,mobile,SG,0,0.0
498,control,88.11,mobile,MY,0,0.0
499,treatment,77.61,desktop,VN,0,0.0
500,treatment,14.24,desktop,VN,0,0.0
501,control,34.43,mobile,PH,0,0.0
502,control,25.97,mobile,ID,0,0.0
503,treatment,3.79,mobile,ID,0,0.0
504,treatment,1.95,mobile,SG,1,37.96
505,control,13.41,desktop,VN,0,0.0
506,treatment,20.99,mobile,SG,0,0.0
507,control,6.26,desktop,SG,0,0.0
508,treatment,9.52,desktop,ID,0,0.0
509,control,10.56,mobile,MY,0,0.0
510,treatment,9.61,desktop,SG,0,0.0
511,control,6.73,desktop,MY,0,0.0
512,control,19.31,mobile,ID,0,0.0
513,treatment,37.71,mobile,SG,1,44.15
514,treatment,28.96,desktop,ID,0,0.0
515,treatment,10.49,desktop,PH,0,0.0
516,treatment,20.53,mobile,SG,0,0.0
517,treatment,24.16,mobile,VN,0,0.0
518,control,2.91,mobile,MY,0,0.0
519,treatment,46.25,mobile,SG,0,0.0
520,control,12.58,mobile,SG,0,0.0
521,treatment,6.67,mobile,SG,0,0.0
522,treatment,108.29,mobile,VN,0,0.0
523,treatment,9.09,mobile,MY,1,33.19
524,treatment,17.95,mobile,PH,0,0.0
525,treatment,12.23,desktop,VN,0,0.0
526,treatment,46.35,mobile,SG,0,0.0
527,treatment,18.44,mobile,MY,0,0.0
528,treatment,5.4,mobile,MY,0,0.0
529,treatment,1.91,mobile,MY,0,0.0
530,treatment,14.68,desktop,VN,0,0.0
531,treatment,81.44,mobile,ID,0,0.0
532,treatment,8.68,desktop,ID,0,0.0
533,treatment,54.79,desktop,PH,0,0.0
534,control,10.71,mobile,ID,0,0.0
535,treatment,20.13,mobile,ID,0,0.0
536,treatment,28.36,mobile,SG,0,0.0
537,treatment,21.09,mobile,SG,0,0.0
538,treatment,2.24,desktop,MY,0,0.0
539,control,13.56,desktop,MY,0,0.0
540,control,29.52,desktop,MY,0,0.0
541,control,14.53,mobile,SG,0,0.0
542,control,32.39,desktop,VN,0,0.0
543,treatment,6.03,mobile,VN,1,20.72
544,treatment,8.35,mobile,SG,0,0.0
545,treatment,21.18,desktop,SG,0,0.0
546,treatment,21.11,desktop,MY,0,0.0
547,treatment,42.38,desktop,ID,0,0.0
548,treatment,17.39,desktop,PH,0,0.0
549,control,24.05,mobile,SG,0,0.0
550,control,21.66,mobile,SG,0,0.0
551,treatment,32.78,mobile,MY,0,0.0
552,control,32.55,mobile,ID,0,0.0
553,treatment,22.61,desktop,PH,1,23.01
554,control,42.77,desktop,MY,0,0.0
555,treatment,60.99,desktop,SG,0,0.0
556,treatment,13.12,desktop,SG,0,0.0
557,control,14.05,mobile,ID,0,0.0
558,treatment,13.52,mobile,VN,0,0.0
559,treatment,12.71,mobile,ID,0,0.0
560,treatment,13.35,mobile,MY,0,0.0
561,control,24.24,mobile,SG,0,0.0
562,treatment,39.76,mobile,PH,0,0.0
563,treatment,12.95,mobile,ID,0,0.0
564,control,31.69,mobile,SG,0,0.0
565,control,16.36,mobile,ID,1,8.63
566,treatment,108.93,mobile,MY,0,0.0
567,control,27.8,mobile,ID,0,0.0
568,treatment,38.95,mobile,PH,0,0.0
569,treatment,9.59,desktop,VN,0,0.0
570,treatment,10.78,mobile,PH,0,0.0
571,control,26.91,mobile,ID,0,0.0
572,treatment,11.88,mobile,ID,0,0.0
573,control,21.95,mobile,MY,0,0.0
574,treatment,51.24,mobile,SG,0,0.0
575,treatment,12.23,desktop,PH,0,0.0
576,treatment,11.01,desktop,PH,0,0.0
577,control,25.89,mobile,ID,0,0.0
578,treatment,18.45,desktop,ID,0,0.0
579,control,36.08,mobile,VN,0,0.0
580,control,20.46,mobile,MY,0,0.0
581,control,8.68,mobile,MY,0,0.0
582,treatment,2.06,mobile,MY,0,0.0
583,treatment,29.49,desktop,SG,0,0.0
584,treatment,12.39,mobile,ID,1,9.36
585,control,24.9,mobile,SG,0,0.0
586,treatment,3.42,desktop,MY,0,0.0
587,control,11.83,mobile,PH,0,0.0
588,control,29.66,mobile,SG,0,0.0
589,treatment,46.7,mobile,MY,0,0.0
590,control,47.5,desktop,SG,1,29.78
591,treatment,54.1,desktop,PH,0,0.0
592,control,22.28,mobile,SG,0,0.0
593,control,44.62,desktop,PH,1,37.5
594,treatment,29.28,mobile,SG,0,0.0
595,control,18.52,mobile,ID,0,0.0
596,treatment,15.39,mobile,VN,0,0.0
597,control,11.42,mobile,ID,0,0.0
598,treatment,46.45,desktop,VN,0,0.0
599,treatment,23.48,mobile,SG,0,0.0
600,treatment,12.12,desktop,SG,0,0.0
601,treatment,20.51,desktop,MY,0,0.0
602,treatment,76.58,desktop,ID,0,0.0
603,treatment,5.77,desktop,VN,0,0.0
604,control,6.06,mobile,ID,0,0.0
605,treatment,59.75,mobile,PH,0,0.0
606,treatment,5.6,mobile,ID,1,41.89
607,control,58.21,mobile,VN,0,0.0
608,control,14.06,mobile,SG,1,20.55
609,control,30.93,mobile,MY,0,0.0
610,treatment,55.59,mobile,SG,0,0.0
611,control,55.7,mobile,SG,0,0.0
612,treatment,40.12,desktop,ID,0,0.0
613,control,22.55,mobile,ID,0,0.0
614,treatment,18.29,mobile,VN,0,0.0
615,treatment,18.65,desktop,MY,0,0.0
616,treatment,64.7,desktop,SG,0,0.0
617,control,29.49,mobile,MY,0,0.0
618,treatment,51.74,desktop,PH,0,0.0
619,treatment,1.22,desktop,PH,0,0.0
620,control,17.16,mobile,SG,0,0.0
621,treatment,29.05,desktop,SG,0,0.0
622,treatment,16.74,mobile,SG,0,0.0
623,treatment,88.43,mobile,PH,0,0.0
624,treatment,7.92,desktop,SG,0,0.0
625,treatment,34.18,mobile,SG,0,0.0
626,treatment,43.64,mobile,SG,1,11.75
627,treatment,11.05,mobile,VN,0,0.0
